序号,实例名称,实例ID,状态,规格,创建时间,运行天数,CPU使用率%,内存使用率%,小时成本(元),月成本(元),优化建议,小时节省(元),月节省(元),节省比例%
1,2d2acdeb-b7cb-4137-ba52-f0b00c2d909e_node_master1eeGg,19c71ede-1c2...,ACTIVE,ac7.4xlarge.4,2026-03-05T10:45:06Z,2,40.0,40.0,2.56,1843.20,运行正常,0.00,0.00,0.0
2,2d2acdeb-b7cb-4137-ba52-f0b00c2d909e_node_master2GjXj,757b9a10-518...,ACTIVE,ac7.4xlarge.4,2026-03-05T10:45:05Z,2,40.0,40.0,2.56,1843.20,运行正常,0.00,0.00,0.0
3,2d2acdeb-b7cb-4137-ba52-f0b00c2d909e_node_master3QPVK,ae9f3913-3ac...,ACTIVE,ac7.4xlarge.4,2026-03-05T10:45:05Z,2,40.0,40.0,2.56,1843.20,运行正常,0.00,0.00,0.0
4,2d2acdeb-b7cb-4137-ba52-f0b00c2d909e_node_group_1wNjL-0003,7cc8abc4-eee...,ACTIVE,am7.4xlarge.8,2026-03-05T10:45:05Z,2,40.0,40.0,3.84,2764.80,运行正常,0.00,0.00,0.0
5,2d2acdeb-b7cb-4137-ba52-f0b00c2d909e_node_group_1wNjL-0001,b298791d-b8c...,ACTIVE,am7.4xlarge.8,2026-03-05T10:45:05Z,2,40.0,40.0,3.84,2764.80,运行正常,0.00,0.00,0.0
6,2d2acdeb-b7cb-4137-ba52-f0b00c2d909e_node_group_1wNjL-0002,339e470d-995...,ACTIVE,am7.4xlarge.8,2026-03-05T10:45:05Z,2,40.0,40.0,3.84,2764.80,运行正常,0.00,0.00,0.0
7,ecs-apisix7-stage-0003,99be238c-2fb...,ACTIVE,c9.6xlarge.2,2026-03-05T05:53:20Z,2,40.0,40.0,4.68,3369.60,运行正常,0.00,0.00,0.0
8,ecs-apisix7-stage-0002,2fe285a7-be9...,ACTIVE,c9.6xlarge.2,2026-03-05T05:53:20Z,2,40.0,40.0,4.68,3369.60,运行正常,0.00,0.00,0.0
9,ecs-apisix7-stage-0001,84c30e28-3aa...,ACTIVE,c9.6xlarge.2,2026-03-05T05:53:20Z,2,40.0,40.0,4.68,3369.60,运行正常,0.00,0.00,0.0
10,ecs-artillery-tmp-01-0002,aa46dae8-73d...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
11,ecs-artillery-tmp-01-0008,d88b4544-56c...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
12,ecs-artillery-tmp-01-0005,49fb5e20-78a...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
13,ecs-artillery-tmp-01-0006,1cb887a7-a14...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
14,ecs-artillery-tmp-01-0010,102fbe9e-210...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
15,ecs-artillery-tmp-01-0007,23077783-d66...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
16,ecs-artillery-tmp-01-0001,d872b2b8-d65...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
17,ecs-artillery-tmp-01-0003,dccdcab4-9f9...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
18,ecs-artillery-tmp-01-0004,6c9beb9f-e46...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
19,ecs-artillery-tmp-01-0009,a7d7dbd7-8b9...,ACTIVE,c7.xlarge.2,2026-03-05T04:47:00Z,2,40.0,40.0,0.52,374.40,临时实例,0.52,374.40,100.0
20,cce-cpts-nodepool-ekhs5,4a3f3bc1-17f...,ACTIVE,ac7.2xlarge.2,2026-03-03T02:16:15Z,4,40.0,40.0,0.96,691.20,运行正常,0.00,0.00,0.0
21,cce-cpts-nodepool-t3a6e,3580b2aa-ba1...,ACTIVE,ac7.2xlarge.2,2026-03-03T02:16:15Z,4,40.0,40.0,0.96,691.20,运行正常,0.00,0.00,0.0
22,cce-cpts-nodepool-55d0b,1d0f14bc-b22...,ACTIVE,ac7.2xlarge.2,2026-03-03T02:16:15Z,4,40.0,40.0,0.96,691.20,运行正常,0.00,0.00,0.0
23,cce-cpts-nodepool-zxp0p,b7d9f3e4-5ec...,ACTIVE,ac7.2xlarge.2,2026-03-03T02:16:15Z,4,40.0,40.0,0.96,691.20,运行正常,0.00,0.00,0.0
24,cce-cpts-nodepool-n2pb2,2a73b456-17e...,ACTIVE,ac7.2xlarge.2,2026-02-24T09:23:06Z,11,50.0,50.0,0.96,691.20,运行正常,0.00,0.00,0.0
25,cce-cpts-nodepool-0la49,4f262711-737...,ACTIVE,ac7.2xlarge.2,2026-02-24T09:23:06Z,11,50.0,50.0,0.96,691.20,运行正常,0.00,0.00,0.0
26,cce-cpts-nodepool-1s7ul,15e319de-647...,ACTIVE,ac7.2xlarge.2,2026-02-24T09:23:06Z,11,50.0,50.0,0.96,691.20,运行正常,0.00,0.00,0.0
27,cce-cpts-nodepool-bttan,2c9357f9-23d...,ACTIVE,ac7.2xlarge.2,2026-02-24T09:23:06Z,11,50.0,50.0,0.96,691.20,运行正常,0.00,0.00,0.0
28,http2kafka-tmp01-0004,a3ee8d7b-6a8...,ACTIVE,ac7.2xlarge.2,2026-02-24T07:03:25Z,11,50.0,50.0,0.96,691.20,临时实例,0.96,691.20,100.0
29,http2kafka-tmp01-0001,de39bb3a-c92...,ACTIVE,ac7.2xlarge.2,2026-02-24T07:03:21Z,11,50.0,50.0,0.96,691.20,临时实例,0.96,691.20,100.0
30,http2kafka-tmp01-0002,4dbd1317-759...,ACTIVE,ac7.2xlarge.2,2026-02-24T07:03:21Z,11,50.0,50.0,0.96,691.20,临时实例,0.96,691.20,100.0
31,http2kafka-tmp01-0003,be6325b4-6f4...,ACTIVE,ac7.2xlarge.2,2026-02-24T07:03:21Z,11,50.0,50.0,0.96,691.20,临时实例,0.96,691.20,100.0
32,http2kafka-tmp,43f27336-cbc...,ACTIVE,ac7.2xlarge.2,2026-02-24T07:00:40Z,11,50.0,50.0,0.96,691.20,临时实例,0.96,691.20,100.0
33,livelab-prod-nodepool-16c-32g-websocket-needed-o13x8,2fedb082-efb...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:27Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
34,livelab-prod-nodepool-16c-32g-websocket-needed-w9crc,64429e6a-30d...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
35,livelab-prod-nodepool-16c-32g-websocket-needed-nn9k1,8cdcc7d1-763...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
36,livelab-prod-nodepool-16c-32g-websocket-needed-d9vij,90901042-b6d...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
37,livelab-prod-nodepool-16c-32g-websocket-needed-2t6s6,671f90d3-d4c...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
38,livelab-prod-nodepool-16c-32g-websocket-needed-6jly5,86e22900-47b...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
39,livelab-prod-nodepool-16c-32g-websocket-needed-0tjtv,8677516b-117...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
40,livelab-prod-nodepool-16c-32g-websocket-needed-dfoo6,c9de86fb-fa8...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
41,livelab-prod-nodepool-16c-32g-websocket-needed-vang1,7971b724-3bf...,ACTIVE,c7.4xlarge.2,2026-02-10T12:32:26Z,25,70.0,70.0,2.08,1497.60,运行正常,0.00,0.00,0.0
